id,match,cote_1,cote_N,cote_2,somme_probabilites,marge_%,trj_%,prob_1_%,prob_N_%,prob_2_%
66299398,,1.82,3.55,3.45,1.1209957627593878,12.1,89.21,49.0,25.1,25.9
66299400,,1.72,4.0,3.35,1.1299028115237766,12.99,88.5,51.5,22.1,26.4
66299402,,1.31,5.3,5.8,1.1244518170124214,12.45,88.93,67.9,16.8,15.3
66299404,,2.05,3.55,2.8,1.1266378760367082,12.66,88.76,43.3,25.0,31.7
66299406,,2.6,3.85,2.05,1.1321605224044249,13.22,88.33,34.0,22.9,43.1
66299408,,1.84,3.95,3.05,1.124511670290607,12.45,88.93,48.3,22.5,29.2
66299410,,2.95,3.5,2.0,1.1246973365617432,12.47,88.91,30.1,25.4,44.5
66299412,,1.72,3.65,3.65,1.1293405543166615,12.93,88.55,51.5,24.3,24.3
66299414,,1.96,3.5,3.0,1.129251700680272,12.93,88.55,45.2,25.3,29.5
66299416,,1.39,4.5,5.3,1.1303259279368958,13.03,88.47,63.6,19.7,16.7
66299418,,1.54,4.3,4.1,1.1258112279099233,12.58,88.82,57.7,20.7,21.7
66299420,,1.84,3.7,3.2,1.1262485311398354,12.62,88.79,48.3,24.0,27.7
66299422,,2.0,3.65,2.85,1.1248497957221821,12.48,88.9,44.5,24.4,31.2
66299424,,2.2,3.45,2.55,1.1365573897543206,13.66,87.98,40.0,25.5,34.5
66299426,,1.58,3.95,3.95,1.1392405063291138,13.92,87.78,55.6,22.2,22.2
66854156,,1.92,3.2,3.25,1.141025641025641,14.1,87.64,45.6,27.4,27.0
66854158,,4.4,3.55,1.62,1.1262468187350816,12.62,88.79,20.2,25.0,54.8
66854160,,1.64,3.75,3.8,1.1395806589644843,13.96,87.75,53.5,23.4,23.1
66854164,,2.7,3.25,2.1,1.1542531542531542,15.43,86.64,32.1,26.7,41.3
66886938,,1.37,4.3,6.25,1.1224851468341537,12.25,89.09,65.0,20.7,14.3
66886940,,2.05,2.9,3.05,1.1605013167146936,16.05,86.17,42.0,29.7,28.3
66886942,,1.8,3.35,3.6,1.1318407960199006,13.18,88.35,49.1,26.4,24.5
66886944,,1.56,3.6,4.6,1.1361947231512448,13.62,88.01,56.4,24.4,19.1
66886946,,1.62,3.45,4.0,1.157139023081052,15.71,86.42,53.3,25.0,21.6
66886948,,2.8,3.15,2.2,1.1291486291486292,12.91,88.56,31.6,28.1,40.3
66886950,,2.0,3.15,3.25,1.1251526251526252,12.52,88.88,44.4,28.2,27.3
66886952,,2.8,2.85,2.2,1.162565504670768,16.26,86.02,30.7,30.2,39.1
66886954,,2.3,3.1,2.6,1.1419786384723272,14.2,87.57,38.1,28.2,33.7
66886956,,3.25,3.1,1.9,1.156588742327282,15.66,86.46,26.6,27.9,45.5
66886958,,1.37,4.0,5.5,1.161745189117452,16.17,86.08,62.8,21.5,15.7
66886960,,2.35,3.05,2.45,1.161564032658756,16.16,86.09,36.6,28.2,35.1
66886962,,1.94,3.05,3.2,1.1558327699847897,15.58,86.52,44.6,28.4,27.0
66886964,,1.7,3.2,3.9,1.1571455505279036,15.71,86.42,50.8,27.0,22.2
66886966,,3.55,3.1,1.8,1.1598263415619163,15.98,86.22,24.3,27.8,47.9
66886968,,1.52,3.5,4.6,1.161000326904217,16.1,86.13,56.7,24.6,18.7
66886970,,1.4,3.85,5.4,1.1592111592111591,15.92,86.27,61.6,22.4,16.0
66886972,,2.05,2.95,3.0,1.1601212622295713,16.01,86.2,42.0,29.2,28.7
66886974,,1.76,3.25,3.55,1.1575642667191963,15.76,86.39,49.1,26.6,24.3
66886976,,2.15,3.0,2.75,1.1620859760394644,16.21,86.05,40.0,28.7,31.3
67015338,,1.26,5.1,6.0,1.1563958916900094,15.64,86.48,68.6,17.0,14.4
67015340,,1.78,3.35,3.35,1.158812678182123,15.88,86.3,48.5,25.8,25.8
67015342,,1.54,3.9,4.0,1.1557609057609057,15.58,86.52,56.2,22.2,21.6
67015344,,2.65,3.5,2.0,1.1630727762803235,16.31,85.98,32.4,24.6,43.0
67015346,,2.35,3.25,2.3,1.168006831281577,16.8,85.62,36.4,26.3,37.2
67015348,,1.48,3.8,4.6,1.1562248747603439,15.62,86.49,58.4,22.8,18.8
67015350,,1.16,5.8,8.0,1.1594827586206897,15.95,86.25,74.3,14.9,10.8
67015352,,2.2,3.6,2.35,1.1578551472168492,15.79,86.37,39.3,24.0,36.8
67091472,,2.3,3.35,2.55,1.1254469341273174,12.54,88.85,38.6,26.5,34.8
67091474,,3.45,3.4,1.82,1.1334232689731412,13.34,88.23,25.6,25.9,48.5
67091476,,2.8,3.35,2.05,1.1434551978782048,14.35,87.45,31.2,26.1,42.7
67091478,,2.1,3.5,2.65,1.1392632524707995,13.93,87.78,41.8,25.1,33.1
67091480,,1.2,5.7,7.75,1.1378041878890777,13.78,87.89,73.2,15.4,11.3
67091482,,1.54,4.1,4.1,1.1371555273994298,13.72,87.94,57.1,21.4,21.4
67126712,,1.38,4.3,5.5,1.139014002512486,13.9,87.8,63.6,20.4,16.0
67126714,,2.3,3.2,2.4,1.1639492753623188,16.39,85.91,37.4,26.8,35.8
67126716,,1.88,3.5,3.15,1.1350894967916245,13.51,88.1,46.9,25.2,28.0
67126718,,2.35,3.45,2.35,1.1409189022510022,14.09,87.65,37.3,25.4,37.3
67126720,,1.88,3.3,3.1,1.1575258418086145,15.75,86.39,46.0,26.2,27.9
67126722,,1.78,3.85,3.3,1.1245683155795516,12.46,88.92,50.0,23.1,26.9
67126724,,2.45,3.3,2.35,1.1367254832300424,13.67,87.97,35.9,26.7,37.4
67681966,,2.15,3.15,2.7,1.1529469669004553,15.29,86.73,40.3,27.5,32.1
67681978,,2.2,3.3,2.6,1.1421911421911422,14.22,87.55,39.8,26.5,33.7
67681980,,1.58,3.7,4.5,1.1254038848975556,12.54,88.86,56.2,24.0,19.7
67681982,,1.64,3.65,3.95,1.1368932572627268,13.69,87.96,53.6,24.1,22.3
67681984,,1.58,3.65,4.0,1.1568839951447893,15.69,86.44,54.7,23.7,21.6
67681986,,1.8,3.35,3.7,1.124333288512393,12.43,88.94,49.4,26.5,24.0
67681988,,2.15,3.25,2.7,1.1431789571324456,14.32,87.48,40.7,26.9,32.4
67681990,,2.15,3.45,2.65,1.1323298420995733,13.23,88.31,41.1,25.6,33.3
67681992,,2.8,3.2,2.1,1.1458333333333335,14.58,87.27,31.2,27.3,41.6
67817810,,3.5,3.2,1.86,1.135848694316436,13.58,88.04,25.2,27.5,47.3
67817812,,2.4,3.0,2.55,1.142156862745098,14.22,87.55,36.5,29.2,34.3
