match,pari,cote,prob_ml_%,ev_%
Charlotte FC - DC United,Match Nul,3.55,31.6,12.03
Charlotte FC - DC United,Victoire DC United,3.45,37.6,29.6
FC Cincinnati - Seattle Sounders,Match Nul,4.0,31.6,26.23
FC Cincinnati - Seattle Sounders,Victoire Seattle Sounders,3.35,37.6,25.84
Inter Miami CF - Toronto FC,Match Nul,5.3,31.6,67.26
Inter Miami CF - Toronto FC,Victoire Toronto FC,5.8,37.6,117.88
Montréal - Los Angeles Galaxy,Match Nul,3.55,31.6,12.03
Montréal - Los Angeles Galaxy,Victoire Los Angeles Galaxy,2.8,37.6,5.18
New York Red Bulls - Chicago Fire,Match Nul,3.85,31.6,21.5
Orlando City SC - Real Salt Lake,Match Nul,3.95,31.6,24.65
Orlando City SC - Real Salt Lake,Victoire Real Salt Lake,3.05,37.6,14.57
Austin FC - Philadelphia Union,Match Nul,3.5,31.6,10.45
Nashville SC - Columbus Crew,Match Nul,3.65,31.6,15.19
Nashville SC - Columbus Crew,Victoire Columbus Crew,3.65,37.6,37.11
St. Louis City - Houston Dynamo,Match Nul,3.5,31.6,10.45
St. Louis City - Houston Dynamo,Victoire Houston Dynamo,3.0,37.6,12.7
Vancouver - FC Dallas,Match Nul,4.4,31.6,38.85
Vancouver - FC Dallas,Victoire FC Dallas,5.2,37.6,95.34
Los Angeles FC - Portland Timbers,Match Nul,4.3,31.6,35.7
Los Angeles FC - Portland Timbers,Victoire Portland Timbers,4.1,37.6,54.02
San Diego FC - Colorado Rapids,Match Nul,3.7,31.6,16.76
San Diego FC - Colorado Rapids,Victoire Colorado Rapids,3.2,37.6,20.21
San Jose Earthquakes - Minnesota United FC,Match Nul,3.65,31.6,15.19
San Jose Earthquakes - Minnesota United FC,Victoire Minnesota United FC,2.85,37.6,7.06
New England Revolution - New York City FC,Match Nul,3.45,31.6,8.87
Atlanta United FC - Kansas City,Match Nul,3.95,31.6,24.65
Atlanta United FC - Kansas City,Victoire Kansas City,3.95,37.6,48.38
Bohemians - Derry City,Victoire Derry City,3.25,37.6,22.09
Drogheda - St Patrick's,Victoire Drogheda,4.4,30.9,35.86
Drogheda - St Patrick's,Match Nul,3.55,31.6,12.03
Dundalk - Galway United,Match Nul,3.75,31.6,18.34
Dundalk - Galway United,Victoire Galway United,3.8,37.6,42.75
Fluminense - Remo,Match Nul,4.3,31.6,35.7
Fluminense - Remo,Victoire Remo,6.25,37.6,134.78
Botafogo - Athletico Paranaense,Victoire Athletico Paranaense,3.05,37.6,14.57
Santos - Mirassol,Match Nul,3.35,31.6,5.72
Santos - Mirassol,Victoire Mirassol,3.6,37.6,35.23
Palmeiras - Vasco da Gama,Match Nul,3.6,31.6,13.61
Palmeiras - Vasco da Gama,Victoire Vasco da Gama,4.6,37.6,72.8
Bragantino SP - Grêmio,Match Nul,3.45,31.6,8.87
Bragantino SP - Grêmio,Victoire Grêmio,4.0,37.6,50.26
Internacional  - Atlético Mineiro,Victoire Atlético Mineiro,3.25,37.6,22.09
Flamengo - Botafogo,Match Nul,4.0,31.6,26.23
Flamengo - Botafogo,Victoire Botafogo,5.5,37.6,106.61
Sao Paulo FC - Bragantino SP,Victoire Bragantino SP,3.2,37.6,20.21
Corinthians - Santos,Victoire Santos,3.9,37.6,46.5
Mirassol - Palmeiras,Victoire Mirassol,3.55,30.9,9.61
Atlético Mineiro - Vitoria,Match Nul,3.5,31.6,10.45
Atlético Mineiro - Vitoria,Victoire Vitoria,4.6,37.6,72.8
Grêmio - Chapecoense,Match Nul,3.85,31.6,21.5
Grêmio - Chapecoense,Victoire Chapecoense,5.4,37.6,102.85
Athletico Paranaense - Fluminense,Victoire Fluminense,3.0,37.6,12.7
Bahia  - Internacional ,Victoire Internacional ,3.55,37.6,33.36
Remo - Coritiba,Victoire Coritiba,2.75,37.6,3.3
Bodø/Glimt - Rosenborg,Match Nul,5.1,31.6,60.94
Bodø/Glimt - Rosenborg,Victoire Rosenborg,6.0,37.6,125.39
Ham-Kam - Kristiansund,Match Nul,3.35,31.6,5.72
Ham-Kam - Kristiansund,Victoire Kristiansund,3.35,37.6,25.84
Lillestrom SK - Fredrikstad FK,Match Nul,3.9,31.6,23.08
Lillestrom SK - Fredrikstad FK,Victoire Fredrikstad FK,4.0,37.6,50.26
Sandefjord - Brann,Match Nul,3.5,31.6,10.45
Tromso - Sarpsborg,Match Nul,3.8,31.6,19.92
Tromso - Sarpsborg,Victoire Sarpsborg,4.6,37.6,72.8
Viking - Aalesund,Match Nul,5.8,31.6,83.04
Viking - Aalesund,Victoire Aalesund,8.0,37.6,200.52
Vålerenga - Molde,Match Nul,3.6,31.6,13.61
Seinäjoen - Lahti,Match Nul,3.35,31.6,5.72
TPS Turku - Inter Turku,Victoire TPS Turku,3.45,30.9,6.53
TPS Turku - Inter Turku,Match Nul,3.4,31.6,7.3
Jaro - AC Oulu,Match Nul,3.35,31.6,5.72
FC Ilves - Vaasa,Match Nul,3.5,31.6,10.45
KuPS - Mariehamn,Match Nul,5.7,31.6,79.88
KuPS - Mariehamn,Victoire Mariehamn,7.75,37.6,191.13
HJK Helsinki - IF Gnistan,Match Nul,4.1,31.6,29.39
HJK Helsinki - IF Gnistan,Victoire IF Gnistan,4.1,37.6,54.02
Hammarby IF - GAIS Göteborg,Match Nul,4.3,31.6,35.7
Hammarby IF - GAIS Göteborg,Victoire GAIS Göteborg,5.5,37.6,106.61
Örgryte IS - Halmstad,Match Nul,3.5,31.6,10.45
Örgryte IS - Halmstad,Victoire Halmstad,3.15,37.6,18.33
Malmö - Djurgardens,Match Nul,3.45,31.6,8.87
Brommapojkarna - Degerfors IF,Match Nul,3.3,31.6,4.14
Brommapojkarna - Degerfors IF,Victoire Degerfors IF,3.1,37.6,16.45
IK Sirius - Häcken,Match Nul,3.85,31.6,21.5
IK Sirius - Häcken,Victoire Häcken,3.3,37.6,23.97
Vasteras SK - Kalmar,Match Nul,3.3,31.6,4.14
Universidad De Chile - Colo Colo,Match Nul,3.3,31.6,4.14
Universidad Catolica - Nublense,Match Nul,3.7,31.6,16.76
Universidad Catolica - Nublense,Victoire Nublense,4.5,37.6,69.04
La Serena - Cobresal,Match Nul,3.65,31.6,15.19
La Serena - Cobresal,Victoire Cobresal,3.95,37.6,48.38
Everton - Universidad de Concepción,Match Nul,3.65,31.6,15.19
Everton - Universidad de Concepción,Victoire Universidad de Concepción,4.0,37.6,50.26
Audax Italiano - Unión La Calera,Match Nul,3.35,31.6,5.72
Audax Italiano - Unión La Calera,Victoire Unión La Calera,3.7,37.6,38.99
Huachipato - Limache,Match Nul,3.45,31.6,8.87
FC Anyang - FC Séoul,Victoire FC Anyang,3.5,30.9,8.07
Jeonbuk Motors - Ulsan HD FC,Match Nul,3.4,31.6,7.3
Jeonbuk Motors - Ulsan HD FC,Victoire Ulsan HD FC,3.0,37.6,12.7
Gwangju FC - Incheon United,Victoire Gwangju FC,4.0,30.9,23.51
Iberia 1999 - Dinamo Tbilissi,Victoire Dinamo Tbilissi,2.8,37.6,5.18
Keflavik - IBV Vestmannaeyjar,Match Nul,3.8,31.6,19.92
IA Akranes - FH Hafnarfjordur,Match Nul,3.65,31.6,15.19
IA Akranes - FH Hafnarfjordur,Victoire FH Hafnarfjordur,2.75,37.6,3.3
KA Akureyri - KR Reykjavik,Victoire KA Akureyri,4.1,30.9,26.6
KA Akureyri - KR Reykjavik,Match Nul,5.0,31.6,57.79
Stjarnan - Þór Akureyri,Match Nul,5.0,31.6,57.79
Stjarnan - Þór Akureyri,Victoire Þór Akureyri,4.8,37.6,80.31
Breidablik Kopavogur - Fram Reykjavik,Match Nul,3.8,31.6,19.92
Levadia Tallinn - Trans Narva,Match Nul,7.0,31.6,120.9
Levadia Tallinn - Trans Narva,Victoire Trans Narva,10.0,37.6,275.65
Harju JK Laagri - Nomme Kalju,Victoire Harju JK Laagri,4.0,30.9,23.51
Harju JK Laagri - Nomme Kalju,Match Nul,4.0,31.6,26.23
Tammeka Tartu - Kuressaare,Match Nul,3.65,31.6,15.19
Tammeka Tartu - Kuressaare,Victoire Kuressaare,3.4,37.6,27.72
Paide Linnameeskond - Nomme United,Match Nul,4.2,31.6,32.54
Paide Linnameeskond - Nomme United,Victoire Nomme United,4.2,37.6,57.77
